rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
1000263,Reporter,Francisk Skorina Gomel State University,n/a,1000263,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Belarus,"6,304",11.2,11%,51 : 49,30%,Francisk Skorina Gomel State University,"History, Philosophy & Theology,Sociology,Economics & Econometrics,Electrical & Electronic Engineering,Mathematics & Statistics,Law,Computer Science,Business & Management,Education,Physics & Astronomy,Geography,Languages, Literature & Linguistics,Biological Sciences,Psychology,Sport Science,Accounting & Finance",False,False
1000264,Reporter,Fukushima University,n/a,1000264,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"3,298",8.3,2%,,39%,Fukushima University,"Business & Management,Law,Economics & Econometrics,Sociology,Psychology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Sport Science",False,False
1000265,Reporter,Future University in Egypt,n/a,1000265,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Egypt,"8,471",9.9,11%,43 : 57,36%,Future University in Egypt,"Politics & International Studies (incl Development Studies),Accounting & Finance,Computer Science,Electrical & Electronic Engineering,Other Health,General Engineering,Communication & Media Studies,Medicine & Dentistry,Civil Engineering,Business & Management,Mechanical & Aerospace Engineering",False,False
1000266,Reporter,University of Gafsa,n/a,1000266,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Tunisia,"7,808",15.4,0%,10 : 90,32%,University of Gafsa,"Art, Performing Arts & Design,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Architecture,Other Health,Law,History, Philosophy & Theology,Chemical Engineering,Geography,Veterinary Science,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Psychology,Politics & International Studies (incl Development Studies),Sport Science,Mechanical & Aerospace Engineering,Physics & Astronomy,Sociology,Agriculture & Forestry,Archaeology,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Accounting & Finance,Chemistry,Business & Management,Education,Languages, Literature & Linguistics",False,False
1000267,Reporter,Gangadhar Meher University,n/a,1000267,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,"6,239",63.0,0%,53 : 47,n/a,Gangadhar Meher University,"Economics & Econometrics,Geography,History, Philosophy & Theology,Business & Management,Biological Sciences,Mathematics & Statistics,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Psychology,Education,Politics & International Studies (incl Development Studies),Accounting & Finance,Chemistry,Sociology",False,False
1000268,Reporter,University of Garmian,n/a,1000268,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,"4,248",9.9,0%,69 : 31,n/a,University of Garmian,"Biological Sciences,History, Philosophy & Theology,Education,Geography,General Engineering,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Sport Science,Computer Science,Psychology,Chemistry",False,False
1000269,Reporter,General Sir John Kotelawala Defence University,n/a,1000269,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Sri Lanka,"5,405",16.7,2%,51 : 49,22%,General Sir John Kotelawala Defence University,"Biological Sciences,General Engineering,Sociology,Computer Science,Accounting & Finance,Civil Engineering,Law,Architecture,Business & Management,Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering",False,False
1000270,Reporter,University of Ghardaia,n/a,1000270,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"15,228",29.5,0%,48 : 52,31%,University of Ghardaia,"Electrical & Electronic Engineering,Sport Science,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Accounting & Finance,General Engineering,Biological Sciences,Computer Science,Chemistry,Business & Management,Mechanical & Aerospace Engineering,Sociology,Agriculture & Forestry,History, Philosophy & Theology,Physics & Astronomy,Chemical Engineering,Psychology,Civil Engineering,Law",False,False
1000271,Reporter,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,n/a,1000271,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,"2,075",18.7,0%,12 : 88,41%,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,"Mechanical & Aerospace Engineering,Civil Engineering,Computer Science,Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Business & Management",False,False
1000272,Reporter,Glasgow School of Art,n/a,1000272,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,"2,260",15.6,41%,67 : 33,32%,Glasgow School of Art,"General Engineering,Architecture,Computer Science,Art, Performing Arts & Design",False,False
1000273,Reporter,Gomel State Medical University,n/a,1000273,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Belarus,"3,496",8.3,24%,70 : 30,9%,Gomel State Medical University,"Biological Sciences,Other Health,Medicine & Dentistry",False,False
1000274,Reporter,The Government Sadiq College Women University Bahawalpur,n/a,1000274,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,"6,055",68.8,0%,100 : 0,32%,The Government Sadiq College Women University Bahawalpur,"History, Philosophy & Theology,Business & Management,Physics & Astronomy,Mathematics & Statistics,Computer Science,Education,Chemistry,Psychology,Biological Sciences,Languages, Literature & Linguistics,Economics & Econometrics,Agriculture & Forestry,Art, Performing Arts & Design",False,False
1000275,Reporter,Government College Women University Faisalabad,n/a,1000275,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,"14,123",56.3,0%,100 : 0,31%,Government College Women University Faisalabad,"Geography,Languages, Literature & Linguistics,Education,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Economics & Econometrics,Physics & Astronomy,Chemistry,Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Art, Performing Arts & Design,Sociology,Sport Science,Psychology",False,False
1000276,Reporter,"Government College Women University, Sialkot",n/a,1000276,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,"7,275",36.0,0%,100 : 0,n/a,"Government College Women University, Sialkot","Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Sociology,History, Philosophy & Theology,Psychology,Physics & Astronomy,Biological Sciences,Education,Accounting & Finance,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemistry,Mathematics & Statistics",False,False
1000277,Reporter,"The Graduate University for Advanced Studies, SOKENDAI",n/a,1000277,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,543,0.5,29%,29 : 71,42%,"The Graduate University for Advanced Studies, SOKENDAI","Mathematics & Statistics,Communication & Media Studies,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Chemical Engineering,Geography,Sociology,Archaeology,Agriculture & Forestry,Computer Science,General Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Architecture",False,False
1000278,Reporter,Guildhall School of Music and Drama,n/a,1000278,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,995,5.0,35%,48 : 52,9%,Guildhall School of Music and Drama,"Art, Performing Arts & Design",False,False
1000279,Reporter,Gulf College,n/a,1000279,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Oman,"3,288",26.1,3%,41 : 59,n/a,Gulf College,"Computer Science,Accounting & Finance,Economics & Econometrics,Business & Management",False,False
1000280,Reporter,Gulf Medical University,n/a,1000280,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Arab Emirates,"1,992",12.7,90%,72 : 28,9%,Gulf Medical University,"Business & Management,Other Health,Medicine & Dentistry,Biological Sciences,Education",False,False
1000281,Reporter,Gulistan State University,n/a,1000281,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Uzbekistan,"10,382",27.8,0%,59 : 41,14%,Gulistan State University,"Sport Science,Economics & Econometrics,Computer Science,Law,Art, Performing Arts & Design,Chemistry,Agriculture & Forestry,Sociology,History, Philosophy & Theology,Physics & Astronomy,Other Health,Psychology,General Engineering,Geography,Mechanical & Aerospace Engineering,Education,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Biological Sciences,Accounting & Finance",False,False
1000282,Reporter,University of Hafr Al Batin,n/a,1000282,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Saudi Arabia,"17,468",20.2,3%,62 : 38,n/a,University of Hafr Al Batin,"Civil Engineering,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Computer Science,Chemistry,General Engineering,Law,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Sport Science,Business & Management",False,False
1000283,Reporter,Hagoromo University of International Studies,n/a,1000283,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"1,185",23.7,17%,54 : 46,17%,Hagoromo University of International Studies,"Politics & International Studies (incl Development Studies),Business & Management,Communication & Media Studies,Accounting & Finance,Economics & Econometrics,Sociology",False,False
1000284,Reporter,Hakuoh University,n/a,1000284,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"5,173",44.2,1%,44 : 56,25%,Hakuoh University,"Law,Languages, Literature & Linguistics,Education,Sport Science,Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Mathematics & Statistics,Business & Management,Psychology,Geography,Economics & Econometrics,Accounting & Finance,Chemistry,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,False
1000285,Reporter,Haliç University,n/a,1000285,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,"10,339",24.2,19%,59 : 41,20%,Haliç University,"Sport Science,Computer Science,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,Mathematics & Statistics,Economics & Econometrics,Psychology,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences,Medicine & Dentistry,Business & Management",False,False
1000286,Reporter,Häme University of Applied Sciences,n/a,1000286,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Finland,"7,461",34.2,7%,53 : 47,33%,Häme University of Applied Sciences,"Electrical & Electronic Engineering,Civil Engineering,Computer Science,Other Health,Mechanical & Aerospace Engineering,Sociology,General Engineering,Business & Management,Art, Performing Arts & Design,Education,Agriculture & Forestry",False,False
1000287,Reporter,Hanseo University,n/a,1000287,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,South Korea,"7,041",25.0,6%,38 : 62,31%,Hanseo University,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Medicine & Dentistry,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Civil Engineering,Architecture,Other Health,Chemical Engineering,Chemistry,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design,Biological Sciences,Computer Science,General Engineering",False,False
1000288,Reporter,Harper Adams University,n/a,1000288,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,"2,155",13.1,10%,60 : 40,26%,Harper Adams University,"Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mechanical & Aerospace Engineering,Agriculture & Forestry,Business & Management,Veterinary Science",False,False
1000289,Reporter,Hartpury University,n/a,1000289,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,"1,975",18.0,11%,69 : 31,15%,Hartpury University,"Sport Science,Business & Management,Agriculture & Forestry,Veterinary Science",False,False
1000290,Reporter,Hawler Medical University,n/a,1000290,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,"4,500",7.5,1%,62 : 38,6%,Hawler Medical University,"Other Health,Medicine & Dentistry,Chemistry,Biological Sciences",False,False
1000291,Reporter,University of Health Sciences Lahore,n/a,1000291,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,"1,089",6.4,1%,66 : 34,4%,University of Health Sciences Lahore,"Medicine & Dentistry,Psychology,Education,Communication & Media Studies,Other Health",False,False
1000292,Reporter,"University of Health Sciences, Turkey",n/a,1000292,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,"21,163",7.5,8%,69 : 31,4%,"University of Health Sciences, Turkey","Medicine & Dentistry,Other Health",False,False
1000293,Reporter,School of Higher Commercial Studies (EHEC Algiers),n/a,1000293,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,583",13.2,0%,67 : 33,14%,School of Higher Commercial Studies (EHEC Algiers),"Accounting & Finance,Business & Management",False,False
1000294,Reporter,"Higher National School of Renewable Energies, Environment and Sustainable Development",n/a,1000294,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,453,26.6,0%,100 : 0,n/a,"Higher National School of Renewable Energies, Environment and Sustainable Development","General Engineering,Computer Science,Electrical & Electronic Engineering",False,False
1000295,Reporter,Higher School of Management and Digital Economy (HSMDE),n/a,1000295,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,"1,002",16.4,0%,66 : 34,n/a,Higher School of Management and Digital Economy (HSMDE),"Business & Management,Accounting & Finance",False,False
1000296,Reporter,Higher School of Agronomy – Mostaganem (ESAM),n/a,1000296,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,666,14.2,0%,65 : 35,n/a,Higher School of Agronomy – Mostaganem (ESAM),Agriculture & Forestry,False,False
1000297,Reporter,Higher School of Management – Tlemcen,n/a,1000297,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,801,12.0,0%,82 : 18,n/a,Higher School of Management – Tlemcen,Business & Management,False,False
1000298,Reporter,University of the Highlands and Islands,n/a,1000298,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,"7,645",139.0,12%,61 : 39,23%,University of the Highlands and Islands,"Medicine & Dentistry,Biological Sciences,Education,Archaeology,Veterinary Science,Law,History, Philosophy & Theology,Agriculture & Forestry,Geography,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Other Health,Sport Science,General Engineering,Chemistry,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Psychology",False,False
1000299,Reporter,Hilla University College,n/a,1000299,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,"4,829",17.6,0%,53 : 47,n/a,Hilla University College,"Sport Science,Physics & Astronomy,Economics & Econometrics,Law,Art, Performing Arts & Design,Accounting & Finance,Education,Medicine & Dentistry,Languages, Literature & Linguistics",False,False
1000300,Reporter,Hiroshima International University,n/a,1000300,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"4,017",15.1,1%,47 : 53,16%,Hiroshima International University,"Psychology,Other Health,Business & Management",False,False
1000301,Reporter,Hiroshima Shudo University,n/a,1000301,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"6,253",22.2,1%,37 : 63,19%,Hiroshima Shudo University,"Politics & International Studies (incl Development Studies),Sociology,Business & Management,Other Health,Languages, Literature & Linguistics,Education,Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,Psychology",False,False
1000302,Reporter,Hiroshima Institute of Technology,n/a,1000302,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"4,645",25.9,0%,10 : 90,46%,Hiroshima Institute of Technology,"Computer Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,General Engineering",False,False
1000303,Reporter,Hitotsubashi University,n/a,1000303,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,"5,998",16.0,13%,33 : 67,22%,Hitotsubashi University,"Geography,Languages, Literature & Linguistics,Psychology,Politics & International Studies (incl Development Studies),Sport Science,Economics & Econometrics,Sociology,Mathematics & Statistics,Agriculture & Forestry,Accounting & Finance,Art, Performing Arts & Design,Education,Law,Communication & Media Studies,Business & Management,History, Philosophy & Theology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Other Health,Biological Sciences,Computer Science",False,False
